title,address_trip,new_column_merged,address_clean_merged,Index,new_column_google,price_level_google,rating_google,total_reviews_google,address,address_clean_google
,,,,5042,DOU,2.0,4.4,414.0,"Piazza Napoli, 25, Milano","piazza napoli, 25, milano"
,,,,5043,Duorice sushi,2.0,4.1,468.0,"Piazza Napoli, 25, Milano","piazza napoli, 25, milano"
,,,,5045,La Caveja Piazza Napoli,1.0,4.4,267.0,"Piazza Napoli, 21, Milano","piazza napoli, 21, milano"
,,,,5046,Mi-Ramen Bistro,2.0,4.4,1094.0,"Piazza Napoli, 21, Milano","piazza napoli, 21, milano"
,,,,5049,Ifu Oriental Restaurant,1.0,4.4,1089.0,"Viale Misurata, 60, Milano","viale misurata, 60, milano"
,,,,5057,Sosital,,5.0,1.0,"Via Savona, 90, Milano","via savona, 90, milano"
,,,,5058,GRANDMILANO,,4.8,49.0,"Via Savona, 90, Milano","via savona, 90, milano"
,,,,5067,Pizzeria S. Gennaro,1.0,4.1,303.0,"Via Savona, 73, Milano","via savona, 73, milano"
,,,,5068,Le Refuge,2.0,4.4,264.0,"Piazza Napoli, 9, Milano","piazza napoli, 9, milano"
,,,,5069,Pizzeria pomodorini e basilico,,3.8,44.0,"Via Savona, 75, Milano","via savona, 75, milano"
,,,,5070,Bar Dell'Artista,1.0,4.5,28.0,"Viale Carlo Troya, 14, Milano","viale carlo troya, 14, milano"
,,,,5073,Pizzeria Express 8,,,,"piano tera, Via Savona, 90, Milano","piano tera, via savona, 90, milano"
,,,,5076,GLU0,,4.7,3.0,"Via Andrea Solari, 43, Milano","via andrea solari, 43, milano"
,,,,5077,La Cassoeula del Togn,,4.7,45.0,"Via Andrea Solari, 43, Milano","via andrea solari, 43, milano"
,,,,5078,Poke Wow,,3.5,15.0,"Via Andrea Solari, 43, Milano","via andrea solari, 43, milano"
,,,,5079,Ristorante Pizzeria Il Pomodorino,2.0,3.9,1037.0,"Via Andrea Solari, 39, Milano","via andrea solari, 39, milano"
,,,,5080,Circle,2.0,3.7,662.0,"Via Stendhal, 36, Milano","via stendhal, 36, milano"
,,,,5083,BeerGallery,2.0,4.4,88.0,"Via Stendhal, 30, Milano","via stendhal, 30, milano"
